design,pressures_mpa,fabric_mode,state_log_sigma,state_precision_percent,adjustment,pressure_nuisance_prior_precision_factor,pressure_nuisance_prior_sd_factor,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
best_single,5,nuisance,0.02,2.0,full_pressure_nuisance,4.0,0.5,1.430306089698404,30.606513228119198,0.0467320821237597,4.625859462348205,408.83465773675573,20.219660178567683,1521.3183871774115,21.33415792564505,21.33415792564507
best_single,5,nuisance,0.05,5.0,raw,1.0,1.0,3.032919463752016,248.63271242600717,0.01219839269804294,9.054171049587806,335.650867033667,18.320776922217764,351.78013124417663,1.391427112655013,1.391427112655275
best_single,5,nuisance,0.05,5.0,shared_static_nuisance,1.0,1.0,1.2219696274104697,20.998165074164437,0.058194114728336306,4.1453429584091515,349.28435108069283,18.689150624913182,891.7005348806293,17.99955790055072,17.99955790055072
best_single,5,nuisance,0.05,5.0,full_pressure_nuisance,0.25,2.0,0.5423302098098699,10.8728682742803,0.04987922194300362,4.477547119136371,155.01813723989244,12.45062798576411,204.920399378724,7.427923493600217,7.427923493600266
best_single,5,nuisance,0.05,5.0,full_pressure_nuisance,1.0,1.0,0.8946873451063961,14.288631789344729,0.06261532652647536,3.9963146505918097,255.73490678146294,15.991713691204671,444.26204305382134,12.779259151857321,12.779259151857293
best_single,5,nuisance,0.05,5.0,full_pressure_nuisance,4.0,0.5,1.0704178183890234,17.181319016841222,0.06230125971933785,4.006374896400705,305.9652095228645,17.491861236668456,639.1269072271996,15.561197915942163,15.561197915942163
symmetric_10_40,10+40,nuisance,0.0025,0.25,raw,1.0,1.0,52.047409285514554,4190.813254643352,0.012419405524177649,8.9732464530587,5760.046800559387,75.89497216917196,101753.55383040779,26.586977817019907,26.586977817019907
symmetric_10_40,10+40,nuisance,0.0025,0.25,shared_static_nuisance,1.0,1.0,2.2582775405116067,436.160841771386,0.00517762560100543,13.897435865210662,645.499681501283,25.40668576381585,34229.55536561012,26.760101895842748,26.760101895842748
symmetric_10_40,10+40,nuisance,0.0025,0.25,full_pressure_nuisance,0.25,2.0,0.72135371937079,12.240971583521265,0.05892944971311532,4.119398506253799,206.18971218131264,14.359307510507344,306.8608158053605,9.900366995225713,9.900366995225713
symmetric_10_40,10+40,nuisance,0.0025,0.25,full_pressure_nuisance,1.0,1.0,1.1829128625387548,19.716667090507755,0.05999557922790346,4.082633310670977,338.1204755902379,18.388052523044355,810.5196120670181,17.196537776437033,17.196537776437033
symmetric_10_40,10+40,nuisance,0.0025,0.25,full_pressure_nuisance,4.0,0.5,1.4381275668562172,31.549658420910042,0.04558298374169006,4.683803051760971,411.0703267028892,20.274869338737776,1576.7736109620785,21.41306301872908,21.41306301872908
symmetric_10_40,10+40,nuisance,0.005,0.5,raw,1.0,1.0,44.23116347354538,1194.4153794156405,0.03703164262267384,5.196530871737772,4895.02888132649,69.96448299906524,24645.402237761573,23.030666304823402,23.030666304823402
