replicate,block_length_samples,fabric_mode,design,pressures_mpa,static_lambda_min,combined_lambda_min,lambda_min_gain,worst_sd_reduction,spectral_ratio
27,5,expanded_nuisance,best_single,5,0.0029997828103507373,0.008022695520766288,2.6744254594312666,1.6353670717705144,0.0004840993694557229
27,5,expanded_nuisance,best_pair,5+7.5,0.0029997828103507373,0.010451546488046137,3.4841010662449037,1.8665746880971315,0.0006137036285725496
28,5,shared,best_single,5,0.0033061148636615023,2.1494565433222426,650.1457547490447,25.497955893542617,0.09035221999036117
28,5,shared,best_pair,5+7.5,0.0033061148636615023,2.2208089645957814,671.7277094650755,25.91771034379919,0.08542268201134644
28,5,nuisance,best_single,5,0.0033061148636615023,1.217693502591185,368.3155464364589,19.191548828493726,0.05971893371984355
28,5,nuisance,best_pair,5+7.5,0.0033061148636615023,1.2719303871870413,384.72056768722973,19.614294983180756,0.058630131277865795
28,5,expanded_nuisance,best_single,5,0.0033061148636615023,0.007861237204011662,2.377787078851032,1.542007483396573,0.00046292250553251916
28,5,expanded_nuisance,best_pair,5+7.5,0.0033061148636615023,0.010305082422018774,3.116976525917178,1.7654961132546223,0.0005919794712278932
29,5,shared,best_single,5,0.0034682179941720737,2.147480553423888,619.1884584626666,24.883497713598597,0.08728736466177056
29,5,shared,best_pair,5+7.5,0.0034682179941720737,2.213927951060935,638.3474034161568,25.265537861208433,0.08196014508421302
29,5,nuisance,best_single,5,0.0034682179941720737,1.2318801439061926,355.191094093918,18.84651410988032,0.05899109459501546
29,5,nuisance,best_pair,5+7.5,0.0034682179941720737,1.2863525987907234,370.897273744697,19.25869345892127,0.05763601060347892
29,5,expanded_nuisance,best_single,5,0.0034682179941720737,0.009017018574517977,2.5998995996416605,1.6124204165296532,0.0005293613042354938
29,5,expanded_nuisance,best_pair,5+7.5,0.0034682179941720737,0.011715455341673842,3.377946646191291,1.8379191076299553,0.0006702324190579564
30,5,shared,best_single,5,0.0034711234442268424,2.149099129717656,619.1364738963773,24.882453132606866,0.08836051433520002
30,5,shared,best_pair,5+7.5,0.0034711234442268424,2.217956510114508,638.9736768951285,25.27792865119942,0.08313641776657768
30,5,nuisance,best_single,5,0.0034711234442268424,1.2317765548674773,354.86394380936315,18.837832778994592,0.05947054416610305
30,5,nuisance,best_pair,5+7.5,0.0034711234442268424,1.288144490864271,371.1030482095667,19.26403509676949,0.0582451860038977
30,5,expanded_nuisance,best_single,5,0.0034711234442268424,0.008892868235620632,2.5619567781178203,1.6006113763552414,0.0005235045809022777
30,5,expanded_nuisance,best_pair,5+7.5,0.0034711234442268424,0.011678726317708943,3.364537880994394,1.8342676688516304,0.0006702277308788122
31,5,shared,best_single,5,0.003442771055583993,2.1965560726733675,638.019791966901,25.259053663328345,0.08853212348472217
31,5,shared,best_pair,5+7.5,0.003442771055583993,2.267274784844004,658.561010371748,25.662443577565796,0.08331664766653255
31,5,nuisance,best_single,5,0.003442771055583993,1.2562827434070623,364.90452694187667,19.102474366999598,0.05937469746464161
31,5,nuisance,best_pair,5+7.5,0.003442771055583993,1.3128990642421094,381.34951265860576,19.52817228156813,0.05811344564837528
31,5,expanded_nuisance,best_single,5,0.003442771055583993,0.008730504891540036,2.535894705336162,1.5924492787326576,0.0005037709176265768
31,5,expanded_nuisance,best_pair,5+7.5,0.003442771055583993,0.011389386282269154,3.308203217229961,1.8188466722706345,0.0006407211513962606
32,5,shared,best_single,5,0.0032563718280378406,2.2181980520570046,681.1869679494193,26.099558769247793,0.08933701861512985
32,5,shared,best_pair,5+7.5,0.0032563718280378406,2.291275992379506,703.6284900425935,26.525996494808513,0.08444361496896298
32,5,nuisance,best_single,5,0.0032563718280378406,1.2643635910347464,388.27371621028954,19.70466229627622,0.05948451636468341
32,5,nuisance,best_pair,5+7.5,0.0032563718280378406,1.3202793282696998,405.4448932710634,20.135662225788934,0.05836431166391263
32,5,expanded_nuisance,best_single,5,0.0032563718280378406,0.008355609768158523,2.5659261931378636,1.6018508648241458,0.00047776875096989044
