train,test,adjustment,Vcem_fraction,Vcem_percent,lnCn_profile,Cn_profile,profile_objective,lnCn_train_qstar,error_train_qstar,lnCn_test_oracle_qstar,error_test_oracle_qstar,lnCn_pooled_qstar,error_pooled_qstar,lnCn_train_local_exponential,error_train_local_exponential,lnCn_constant_Cn,error_constant_Cn
BT2,19A,raw,0.002735294117647059,0.2735294117647059,2.1370420626052784,8.474333970318227,0.04640618862029425,2.144892082505551,0.007850019900272454,2.119062047458614,-0.017980015146664474,2.12840586535059,-0.008636197254688227,3.97300007351109,1.8359580109058116,1.548190461706214,-0.5888516008990643
BT2,19A,raw,0.004470588235294118,0.4470588235294118,1.9906839100431033,7.320538640568445,0.03613411485417163,1.9987789644750376,0.008095054431934257,1.9792991217829363,-0.011384788260166978,1.9862655180319466,-0.00441839201115668,3.780490888525714,1.7898069784826105,1.548190461706214,-0.4424934483368892
BT2,19A,raw,0.0062058823529411765,0.6205882352941177,1.8957917444805477,6.657817608770208,0.028645594828310403,1.9034836423011212,0.007691897820573557,1.8881413044252924,-0.007650440055255281,1.8935716839697962,-0.0022200605107514093,3.5879817035403376,1.69218995905979,1.548190461706214,-0.34760128277433355
BT2,19A,raw,0.007941176470588236,0.7941176470588236,1.82649015017174,6.212045005390509,0.022669756911079975,1.8335381650562805,0.007048014884540432,1.8212295333479582,-0.005260616823781872,1.8255437134964907,-0.0009464366752494069,3.3954725185549615,1.5689823683832214,1.548190461706214,-0.278299688465526
BT2,19A,raw,0.009676470588235293,0.9676470588235293,1.7725341834816406,5.885750048491036,0.017722697212655198,1.7788395136371113,0.006305330155470745,1.7689006802954157,-0.0036335031862249068,1.7723512374698522,-0.00018294601178836523,3.202963333569585,1.4304291500879442,1.548190461706214,-0.2243437217754265
BT2,19A,raw,0.011411764705882354,1.1411764705882355,1.7288120236226439,5.633956923549799,0.01356899636407123,1.7343372606896774,0.0055252370670335615,1.7263242159826384,-0.002487807640005446,1.729080124910166,0.0002681012875220823,3.0104541485842087,1.2816421249615648,1.548190461706214,-0.18062156191642975
BT2,19A,raw,0.013147058823529411,1.3147058823529412,1.6924034756334454,5.432521960844139,0.010077427644168024,1.6971412220218687,0.004737746388423281,1.6907357960410188,-0.0016676795924266408,1.69291818982862,0.0005147141951746814,2.8179449635988325,1.125541487965387,1.548190461706214,-0.1442130139272313
BT2,19A,raw,0.014882352941176472,1.488235294117647,1.6614832940549331,5.267117737483158,0.00716845755329284,1.6654418763430412,0.003958582288108081,1.6604046863080648,-0.0010786077468682986,1.6621047454520832,0.0006214513971500857,2.625435778613456,0.9639524845585228,1.548190461706214,-0.11329283234871901
BT2,19A,raw,0.01661764705882353,1.6617647058823528,1.6348345490335496,5.128609393447263,0.004791285723305741,1.6380308773824481,0.0031963283488984917,1.6341751521259553,-0.0006593969075943118,1.6354640562157172,0.0006295071821675879,2.43292659362808,0.7980920445945305,1.548190461706214,-0.08664408732733553
BT2,19A,raw,0.01835294117647059,1.835294117647059,1.6116054227732353,5.010849305438936,0.0029124646927612546,1.6140611414151336,0.002455718641898308,1.6112369917954708,-0.00036843097776451117,1.6121718997742984,0.0005664770010631592,2.2404174086427036,0.6288119858694683,1.548190461706214,-0.06341496106702116
